K,Clubs,340504479399177132,90.05
Q,Clubs,356844792539807831,51.67
9,Clubs,536894000608210670,58.17
8,Diamonds,533154706861088601,8.89
3,Hearts,500916043117792157,12.07
7,Hearts,507313919745003756,79.1
T,Spades,928584371349306119,7.42
A,Spades,221776829412111571,31.51
5,Hearts,354389235904419936,2.32
6,Clubs,407110896792940016,86.36
9,Hearts,385179130407578042,27.32
8,Clubs,110388200761555920,58.08
4,Clubs,786357804152642379,46.65
Q,Diamonds,499352136448538059,46.21
8,Spades,425249524191090060,91.52
5,Clubs,882260662836826973,60.18
3,Spades,797034391610975535,76.67
7,Clubs,549695288298952865,49.02
A,Clubs,137991390281992469,19.06
8,Hearts,693375509081427899,51.91
9,Spades,694782590353335213,53.58
K,Spades,233553440753793474,33.33
J,Clubs,518941433017141721,93.31
7,Spades,771449493970623103,48.71
6,Spades,56047899590973318,20.02
Q,Spades,664886309782107895,78.82
J,Spades,353078921837607809,44.31
2,Hearts,756166677691022372,54.72
K,Diamonds,577659455838554629,14.4
T,Diamonds,201656008868486311,25.64
6,Diamonds,181338393837889435,51.21
2,Clubs,839764711553236180,50.25
5,Diamonds,845346216466115999,17.5
5,Spades,631577059086288603,41.92
3,Clubs,962987748840963516,43.85
J,Diamonds,121268190947357799,56.17
K,Hearts,597075964238755815,32.39
4,Diamonds,883224061954963633,95.79
J,Hearts,962923003588860140,51.6
3,Diamonds,105312103239131221,9.08
T,Hearts,999461205934848375,30.48
A,Hearts,323982548109957885,38.73
2,Spades,98608131899574392,69.16
7,Diamonds,201689151609393632,70.29
2,Diamonds,513601439594621783,23.38
A,Diamonds,367899573958344474,24.43
4,Hearts,304898166700361933,64.98
4,Spades,723735579408157271,36.74
6,Hearts,473617240518907462,83.16
9,Diamonds,252631309923915167,1.57
Q,Hearts,9348392693745193,39.75
T,Clubs,184174316285310807,31.38
